source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity
4600264742611971712,260.9533543108537,31.715846087707924,41.38746638563794,0.03600354706730448,31.132122083618306,360.243763410743,13.916555,15.631916,12.659144,
6770968152052164608,288.8439748300964,-23.202069938034015,41.38782700751315,0.07222561536319651,141.73745521202858,231.14476119791578,12.088798,13.5277815,10.926281,
789568993653179648,167.7127806661334,47.94832177665925,41.392727711114965,0.07155672420512921,-294.7502777061882,-521.443147102308,13.094597,14.768816,11.847698,
6840822904602985984,328.2759545730954,-12.829715162325238,41.397606042127585,0.06846844882190045,-151.0868588209626,-137.70662645056845,11.949652,13.182069,10.86337,
5224385269534134912,178.01652903466314,-76.51821895126032,41.404596100397335,0.048312958205777974,-179.2066949973414,11.238138078768143,13.93308,15.618796,12.683311,
2060325262521404160,301.3463632879474,38.22832534425032,41.410651718472465,0.08540394270358105,-313.60206403191614,-335.4198925558266,15.084012,17.175451,13.694044,
410527134662587776,20.644922217667844,54.09073341717193,41.412552178622285,0.05730842398349527,278.9390540420567,-60.987175145407306,13.300036,14.864298,12.087206,
6692782017633230848,303.91090641034424,-39.89062586516463,41.41320428736066,0.09198736038321159,238.43180430274117,-278.19812114086733,14.902004,17.129038,13.52195,
510316988940721280,19.82390263629298,59.855965567078634,41.414240419417204,0.054262884428549145,301.7491691457184,-28.908617085275853,13.737245,15.600172,12.435078,
6770968147755327360,288.84335201296767,-23.20056312443932,41.415959335492026,0.0758750490305673,153.01040525935696,230.01647765410996,12.203851,13.677648,11.0294285,
239732949773406976,49.530416990620594,42.668566643125025,41.419286250408724,0.05238277952788017,204.88577304909802,-148.16148241278557,12.177989,13.70894,10.983109,
