source_id,ra,dec,parallax,parallax_error,pmra,pmdec,phot_g_mean_mag,phot_bp_mean_mag,phot_rp_mean_mag,radial_velocity,tmass_oid,ra_2,dec_2,j_m,h_m,ks_m
3788190605663811840,167.0270087142837,-5.231653214842885,40.05840383436194,0.05250890606731826,-54.871278475516064,-439.6782538405663,11.476416,12.824537,10.345797,,276401520,167.027282,-5.229685,8.797,8.137,7.933
6126746594071444480,185.37035734771948,-50.068967150349394,40.061804004964976,0.06580868830685012,-110.44273072665358,32.285265811470424,13.1337385,14.796513,11.890162,,93493233,185.371106,-50.06908,10.117,9.499,9.235
6004484268320338944,226.67011372785063,-42.5155332054505,40.06352726709363,0.08121869668545828,-511.25218238962725,-53.0977246639883,15.096069,17.267296,13.733177,,125990328,226.673028,-42.515312,11.674,11.186,10.853
4246382183568597120,307.0914116884886,5.4084669566125205,40.064566778326125,0.06362608142807391,-221.14827894778645,-146.08455623730518,13.628547,15.329816,12.368765,,309640341,307.092351,5.409106,10.552,10.051,9.783
1250871227385237888,209.4736155178844,23.14608706643282,40.065062601152405,0.10016534078038825,-92.68092426397162,-26.7334914964228,14.786318,16.833027,13.445245,,361504712,209.474122,23.146242,11.425,10.85,10.596
4175226257790341504,266.597952307186,-5.86461429636873,40.06570881421763,0.1011589943230685,-9.986680337056868,-226.77852662370643,15.582842,17.955368,14.174789,,274272456,266.598007,-5.863626,11.981,11.395,11.081
83872744127196416,42.14894567566793,19.274222450854985,40.07726712781277,0.13645490999707494,248.43309505420538,-124.7044763321652,16.125875,18.791033,14.654547,,350553118,42.147675,19.274851,12.227,11.605,11.258
4922569671300905088,1.775326720324535,-56.08464794092842,40.078859938709854,0.03811191327185015,339.7914016948187,-7.320203822670512,12.315105,13.754078,11.149536,,65620540,1.772642,-56.084602,9.567,9.061,8.71
3648394677218755584,219.6631134334039,-2.9567627254583306,40.08115480117124,0.05831003525984198,-210.52822259514787,-30.78800486503371,12.724567,14.254992,11.522797,,283742424,219.664023,-2.956609,9.855,9.301,9.031
1123855296251645824,137.80104688306648,74.01826147100618,40.08415047076565,0.17461835797666758,-191.05368012001958,-154.31938694081774,17.62595,20.938675,16.019283,,467682676,137.804082,74.018929,12.921,12.205,11.748
326828392543639296,36.27161361972002,33.96261773716174,40.08488056903948,0.06203073225873467,467.7830500735847,-179.27578159218456,12.988248,14.525629,11.790371,,390456594,36.268863,33.963486,10.107,9.519,9.276
3232309683080514560,73.87896901735557,2.7380272171708913,40.09056581263434,0.08865403590160223,645.2810537338547,-417.8436210277867,15.417336,17.734863,14.031701,,301603637,73.876184,2.739797,12.02,11.577,11.254
3881626244798724480,151.73956748486265,12.680995271783095,40.097456706552364,0.09941448567842386,-321.47107155567284,-43.84979934213807,11.149359,12.292587,10.117102,11.708306295631704,331313209,151.740976,12.681194,8.776,8.134,7.916
2543062097446318080,10.10936094887127,-0.14493225744475938,40.09749247882814,0.07864009850759646,-171.8701122531119,-54.930123875308965,11.527177,12.872516,10.428128,,292769665,10.110124,-0.144694,8.926,8.333,8.019
5803999970941812224,263.5147623291283,-71.25783882095159,40.10169619331978,0.06384634400195865,9.130185662451506,50.888992708268496,14.995337,17.115791,13.635969,,9029879,263.514713,-71.258049,11.59,11.022,10.718
2668056572156599040,326.35310556535404,-5.903137920238637,40.11011980952284,0.05958260889181205,-139.37832251411905,-343.86970473758544,12.403778,13.883188,11.218907,,274137232,326.353783,-5.901531,9.604,9.021,8.776
4227727388253995648,313.6331615791297,0.8578033022003936,40.11164482361088,0.07554849497847348,62.09364585657403,-21.05412402336133,13.865233,15.621891,12.590407,,295898362,313.632909,0.857861,10.752,10.185,9.922
1195788477975819008,236.0971498588457,15.095106945404687,40.11206120407278,0.0574690664055217,-335.71236111580646,-120.6453613799963,13.2074585,14.693389,12.023147,,338419675,236.098736,15.095648,10.381,9.819,9.586
