#ra	dec	p	perr	pra	praerr	pdec	pdecerr	rv	rverr	G	Gerr	B	Berr	R	Rerr	V	Verr	spt	spterr	binaryflag	d	dm	dp
127.0443517906557	-50.4216473578582	3.3185	0.4834	-12.619	0.819	3.659	0.785	nan	nan	16.390722	0.005263777068107601	16.810543	0.004439286054390743	15.414412	0.003975992578582294	16.573593299409996	0.004329923289207391	nan	nan	nan	311.169927194032	44.57374588169705	62.36171632993097
126.3507550793241	-50.8987837486773	3.2242	0.0835	-13.539	0.17	3.372	0.177	nan	nan	17.163347	0.0022129371500001446	18.631742	0.021970702659791234	15.932445	0.0054749950711049334	18.36235649767	0.021424285267002435	nan	nan	nan	307.764606418202	7.7739653354539655	8.180026256328006
126.4601542707958	-50.2630335526522	3.2473	0.1134	-12.622	0.211	3.249	0.198	nan	nan	17.631552	0.0023378109116514523	19.24898	0.02776742149393466	16.351658	0.006142809555592761	18.97466565542	0.02707672205230156	nan	nan	nan	305.898599484534	10.34264431569295	11.079006104022028
126.3208644306731	-50.1091991226404	3.1476	0.1365	-12.832	0.233	3.316	0.262	nan	nan	17.934692	0.0026360401629782156	19.605898	0.04951665386807964	16.5935	0.007876674349032782	19.328719413779996	0.04828458236779861	nan	nan	nan	315.872196653302	13.178893792617998	14.356786254771976
126.7864941214497	-50.2556913436804	3.2166	0.0728	-12.792	0.137	3.331	0.141	nan	nan	16.996037	0.0022250345826955314	18.538952	0.015678705954605226	15.768951	0.004772307176201812	18.267806675109995	0.0152889243937894	nan	nan	nan	308.391091812722	6.827670975957972	7.138226736213028
126.5785337054414	-50.1201170103433	3.1295	0.0297	-12.9	0.06	3.078	0.06	nan	nan	15.63289	0.0020154079966176403	16.731497	0.006665250662045912	14.585261	0.0031900871464403584	16.47587718596	0.006499837569552873	nan	nan	nan	316.655774321296	2.969539713703	3.0252777448980055
128.0546126319063	-50.6879074539415	3.2043	0.0915	-13.478	0.183	2.872	0.192	nan	nan	17.2396	0.0020793602808726634	18.828653	0.023900527912877494	15.99283	0.004105849680099981	18.555869365529997	0.023305867832282407	nan	nan	nan	309.734278251377	8.608350483755999	9.105734419204964
128.703530528905	-49.4763335997903	3.1208	0.0891	-13.615	0.147	3.321	0.239	nan	nan	16.648287	0.003187422398586349	17.691265	0.06453447751667742	15.276969	0.02493236392526178	17.42897317256	0.0629312741551202	nan	nan	nan	317.943866458547	8.831254933056982	9.341192001061984
127.5508679891785	-50.0836788273815	3.1895	0.3135	-13.104	0.525	3.06	0.665	nan	nan	17.393288	0.006082252169996665	18.671972	0.026114272548381653	15.716207	0.005872147331219726	18.39620300915	0.025464707753074425	nan	nan	nan	316.321733542363	29.829783872891994	36.66066661471598
124.4017667554238	-52.9427411142582	3.1533	0.1659	-12.982	0.354	4.077	0.315	nan	nan	16.646004	0.0027800121852777637	18.146961	0.012171346851961704	15.392096	0.0038157478340287276	17.876192410149997	0.01186878202560703	nan	nan	nan	315.782903845535	16.121457446764964	17.92178391955605
124.760146070959	-51.8469849664154	2.9872	0.0649	-12.156	0.123	3.743	0.16	nan	nan	16.603907	0.0024637165778629527	17.954447	0.011208536630821874	15.449224	0.004770721872043157	17.689891999529998	0.010930201173297559	nan	nan	nan	331.817483930092	7.053465094350997	7.360931114602977
